node,device_type,timestamp,V,I,P,Q,kwh
node1,residential,2025-03-25 20:15:00,225.79,0.005,1.17,0.56,0.2926
node1,residential,2025-03-25 20:30:00,241.22,0.005,1.1,0.53,0.2756
node1,residential,2025-03-25 20:45:00,231.47,0.006,1.42,0.67,0.3538
node1,residential,2025-03-25 21:00:00,236.43,0.004,1.04,0.49,0.2602
node1,residential,2025-03-25 21:15:00,218.84,0.006,1.37,0.66,0.3432
node1,residential,2025-03-25 21:30:00,237.61,0.004,0.99,0.44,0.2487
node1,residential,2025-03-25 21:45:00,234.04,0.004,0.92,0.41,0.2292
node1,residential,2025-03-25 22:00:00,234.51,0.002,0.46,0.23,0.1162
node1,residential,2025-03-25 22:15:00,226.2,0.002,0.42,0.22,0.1052
node1,residential,2025-03-25 22:30:00,237.66,0.001,0.3,0.17,0.0747
node1,residential,2025-03-25 22:45:00,239.19,0.002,0.39,0.22,0.0968
node1,residential,2025-03-25 23:00:00,221.6,0.002,0.47,0.25,0.1186
node1,residential,2025-03-25 23:15:00,237.84,0.002,0.49,0.25,0.1225
node1,residential,2025-03-25 23:30:00,241.37,0.002,0.39,0.22,0.0969
node1,residential,2025-03-25 23:45:00,221.57,0.001,0.2,0.09,0.0506
node1,residential,2025-03-26 00:00:00,239.03,0.001,0.28,0.13,0.0688
node1,residential,2025-03-26 00:15:00,235.45,0.002,0.44,0.22,0.1094
node1,residential,2025-03-26 00:30:00,231.23,0.001,0.26,0.15,0.0646
node1,residential,2025-03-26 00:45:00,239.04,0.001,0.29,0.17,0.0715
node1,residential,2025-03-26 01:00:00,219.47,0.002,0.47,0.23,0.1163
node1,residential,2025-03-26 01:15:00,232.39,0.001,0.23,0.1,0.0587
node1,residential,2025-03-26 01:30:00,240.29,0.001,0.33,0.17,0.0827
node1,residential,2025-03-26 01:45:00,227.0,0.002,0.45,0.21,0.112
node1,residential,2025-03-26 02:00:00,239.78,0.001,0.29,0.13,0.0729
node1,residential,2025-03-26 02:15:00,220.26,0.001,0.25,0.12,0.063
node1,residential,2025-03-26 02:30:00,223.62,0.002,0.39,0.19,0.0965
node1,residential,2025-03-26 02:45:00,219.54,0.002,0.42,0.19,0.104
node1,residential,2025-03-26 03:00:00,227.84,0.001,0.3,0.12,0.0761
node1,residential,2025-03-26 03:15:00,239.98,0.001,0.34,0.18,0.086
node1,residential,2025-03-26 03:30:00,220.44,0.002,0.4,0.2,0.1007
node1,residential,2025-03-26 03:45:00,234.85,0.002,0.35,0.12,0.0887
node1,residential,2025-03-26 04:00:00,223.52,0.002,0.42,0.22,0.1058
node1,residential,2025-03-26 04:15:00,223.25,0.001,0.26,0.09,0.0645
node1,residential,2025-03-26 04:30:00,218.71,0.002,0.36,0.18,0.0911
node1,residential,2025-03-26 04:45:00,221.01,0.002,0.39,0.18,0.0965
node1,residential,2025-03-26 05:00:00,237.79,0.001,0.25,0.12,0.0613
node1,residential,2025-03-26 05:15:00,232.69,0.002,0.46,0.24,0.1155
node1,residential,2025-03-26 05:30:00,238.76,0.001,0.24,0.11,0.0609
node1,residential,2025-03-26 05:45:00,223.75,0.001,0.27,0.13,0.0664
node1,residential,2025-03-26 06:00:00,230.37,0.004,0.99,0.46,0.2468
node1,residential,2025-03-26 06:15:00,222.74,0.004,0.91,0.41,0.2281
node1,residential,2025-03-26 06:30:00,235.16,0.004,0.85,0.43,0.2133
node1,residential,2025-03-26 06:45:00,231.48,0.005,1.18,0.56,0.296
node1,residential,2025-03-26 07:00:00,225.18,0.004,0.8,0.39,0.2005
node1,residential,2025-03-26 07:15:00,238.68,0.005,1.17,0.54,0.2937
node1,residential,2025-03-26 07:30:00,219.99,0.005,1.03,0.51,0.2581
node1,residential,2025-03-26 07:45:00,231.23,0.004,0.98,0.49,0.2462
node1,residential,2025-03-26 08:00:00,229.55,0.005,1.12,0.53,0.2793
node1,residential,2025-03-26 08:15:00,225.37,0.004,0.8,0.42,0.2006
node1,residential,2025-03-26 08:30:00,224.15,0.005,1.15,0.56,0.288
node1,residential,2025-03-26 08:45:00,231.28,0.004,0.82,0.42,0.204
node1,residential,2025-03-26 09:00:00,223.31,0.001,0.32,0.18,0.079
node1,residential,2025-03-26 09:15:00,234.26,0.002,0.5,0.29,0.1239
node1,residential,2025-03-26 09:30:00,226.85,0.002,0.38,0.15,0.0943
node1,residential,2025-03-26 09:45:00,226.25,0.002,0.42,0.21,0.106
node1,residential,2025-03-26 10:00:00,240.76,0.001,0.26,0.15,0.0647
node1,residential,2025-03-26 10:15:00,233.89,0.002,0.38,0.19,0.0959
node1,residential,2025-03-26 10:30:00,239.79,0.001,0.28,0.16,0.0702
node1,residential,2025-03-26 10:45:00,233.26,0.001,0.32,0.16,0.0796
node1,residential,2025-03-26 11:00:00,225.33,0.001,0.21,0.12,0.0532
node1,residential,2025-03-26 11:15:00,218.63,0.002,0.4,0.17,0.0997
node1,residential,2025-03-26 11:30:00,229.34,0.001,0.29,0.13,0.0724
node1,residential,2025-03-26 11:45:00,221.28,0.002,0.39,0.18,0.0978
node1,residential,2025-03-26 12:00:00,235.62,0.001,0.23,0.11,0.0584
node1,residential,2025-03-26 12:15:00,238.2,0.001,0.28,0.12,0.0711
node1,residential,2025-03-26 12:30:00,221.57,0.001,0.21,0.16,0.0515
node1,residential,2025-03-26 12:45:00,236.48,0.001,0.22,0.1,0.0554
node1,residential,2025-03-26 13:00:00,225.39,0.001,0.33,0.18,0.0831
node1,residential,2025-03-26 13:15:00,222.52,0.002,0.44,0.24,0.1097
node1,residential,2025-03-26 13:30:00,237.91,0.002,0.49,0.25,0.1226
node1,residential,2025-03-26 13:45:00,237.59,0.002,0.37,0.2,0.0935
node1,residential,2025-03-26 14:00:00,223.38,0.001,0.29,0.15,0.0725
node1,residential,2025-03-26 14:15:00,225.94,0.001,0.27,0.16,0.0664
node1,residential,2025-03-26 14:30:00,233.6,0.001,0.25,0.13,0.0636
node1,residential,2025-03-26 14:45:00,226.93,0.002,0.47,0.23,0.1184
node1,residential,2025-03-26 15:00:00,224.66,0.001,0.26,0.12,0.0651
node1,residential,2025-03-26 15:15:00,219.11,0.002,0.46,0.21,0.1152
node1,residential,2025-03-26 15:30:00,219.23,0.001,0.28,0.15,0.0688
node1,residential,2025-03-26 15:45:00,228.62,0.001,0.21,0.09,0.0524
node1,residential,2025-03-26 16:00:00,226.18,0.001,0.21,0.12,0.0526
node1,residential,2025-03-26 16:15:00,231.7,0.001,0.21,0.07,0.0513
node1,residential,2025-03-26 16:30:00,238.15,0.002,0.45,0.19,0.1121
node1,residential,2025-03-26 16:45:00,235.43,0.001,0.33,0.17,0.0817
node1,residential,2025-03-26 17:00:00,228.32,0.001,0.28,0.11,0.0708
node1,residential,2025-03-26 17:15:00,234.23,0.001,0.22,0.07,0.0557
node1,residential,2025-03-26 17:30:00,224.89,0.001,0.25,0.14,0.0621
node1,residential,2025-03-26 17:45:00,226.67,0.002,0.4,0.21,0.0999
node1,residential,2025-03-26 18:00:00,238.45,0.006,1.4,0.66,0.3497
node1,residential,2025-03-26 18:15:00,232.13,0.005,1.25,0.61,0.3121
node1,residential,2025-03-26 18:30:00,233.4,0.005,1.24,0.58,0.3105
node1,residential,2025-03-26 18:45:00,226.52,0.006,1.36,0.67,0.3396
node1,residential,2025-03-26 19:00:00,232.21,0.004,0.91,0.47,0.2283
node1,residential,2025-03-26 19:15:00,221.56,0.006,1.41,0.68,0.3529
node1,residential,2025-03-26 19:30:00,221.29,0.005,1.16,0.58,0.2896
node1,residential,2025-03-26 19:45:00,223.1,0.005,1.16,0.54,0.289
node1,residential,2025-03-26 20:00:00,222.61,0.006,1.35,0.65,0.3383
node1,residential,2025-03-26 20:15:00,230.28,0.004,0.9,0.45,0.2258
node1,residential,2025-03-26 20:30:00,222.63,0.005,1.0,0.44,0.2506
node1,residential,2025-03-26 20:45:00,223.28,0.006,1.31,0.65,0.3282
node1,residential,2025-03-26 21:00:00,223.88,0.005,1.13,0.56,0.2816
node1,residential,2025-03-26 21:15:00,225.38,0.006,1.39,0.67,0.3473
node1,residential,2025-03-26 21:30:00,229.73,0.006,1.28,0.62,0.3207
node1,residential,2025-03-26 21:45:00,220.82,0.006,1.24,0.61,0.3109
node1,residential,2025-03-26 22:00:00,231.94,0.001,0.2,0.07,0.0504
node1,residential,2025-03-26 22:15:00,235.24,0.002,0.42,0.2,0.1038
node1,residential,2025-03-26 22:30:00,233.95,0.001,0.29,0.15,0.0735
node1,residential,2025-03-26 22:45:00,220.33,0.002,0.45,0.23,0.1134
node1,residential,2025-03-26 23:00:00,224.65,0.002,0.35,0.18,0.0868
node1,residential,2025-03-26 23:15:00,220.43,0.002,0.37,0.19,0.0917
node1,residential,2025-03-26 23:30:00,237.47,0.001,0.35,0.16,0.0877
node1,residential,2025-03-26 23:45:00,224.39,0.002,0.4,0.19,0.0996
node1,residential,2025-03-27 00:00:00,221.63,0.001,0.27,0.13,0.068
node1,residential,2025-03-27 00:15:00,221.27,0.002,0.38,0.19,0.0946
node1,residential,2025-03-27 00:30:00,218.68,0.001,0.21,0.12,0.0522
node1,residential,2025-03-27 00:45:00,231.26,0.002,0.49,0.21,0.1224
node1,residential,2025-03-27 01:00:00,239.7,0.002,0.41,0.17,0.1025
node1,residential,2025-03-27 01:15:00,223.09,0.002,0.36,0.14,0.089
node1,residential,2025-03-27 01:30:00,237.35,0.002,0.46,0.2,0.1161
node1,residential,2025-03-27 01:45:00,235.92,0.002,0.39,0.21,0.0981
node1,residential,2025-03-27 02:00:00,226.94,0.001,0.34,0.17,0.085
node1,residential,2025-03-27 02:15:00,236.91,0.002,0.48,0.25,0.1209
node1,residential,2025-03-27 02:30:00,230.99,0.001,0.21,0.12,0.0526
node1,residential,2025-03-27 02:45:00,227.3,0.001,0.33,0.16,0.0821
node1,residential,2025-03-27 03:00:00,222.16,0.001,0.21,0.08,0.0526
node1,residential,2025-03-27 03:15:00,228.3,0.002,0.37,0.17,0.0926
node1,residential,2025-03-27 03:30:00,226.58,0.001,0.21,0.11,0.0521
node1,residential,2025-03-27 03:45:00,224.46,0.002,0.48,0.24,0.1204
node1,residential,2025-03-27 04:00:00,234.15,0.002,0.37,0.17,0.0928
node1,residential,2025-03-27 04:15:00,225.03,0.002,0.42,0.22,0.1047
node1,residential,2025-03-27 04:30:00,230.82,0.001,0.28,0.15,0.071
node1,residential,2025-03-27 04:45:00,238.44,0.001,0.2,0.09,0.0512
node1,residential,2025-03-27 05:00:00,231.9,0.001,0.34,0.18,0.0854
node1,residential,2025-03-27 05:15:00,218.78,0.002,0.34,0.12,0.0839
node1,residential,2025-03-27 05:30:00,224.18,0.001,0.28,0.15,0.0708
node1,residential,2025-03-27 05:45:00,237.82,0.001,0.29,0.12,0.0735
node1,residential,2025-03-27 06:00:00,230.77,0.005,1.06,0.49,0.2661
node1,residential,2025-03-27 06:15:00,221.51,0.004,0.93,0.41,0.2325
node1,residential,2025-03-27 06:30:00,239.74,0.005,1.12,0.54,0.2788
node1,residential,2025-03-27 06:45:00,239.64,0.004,0.95,0.46,0.2365
node1,residential,2025-03-27 07:00:00,241.0,0.004,0.9,0.42,0.2239
node1,residential,2025-03-27 07:15:00,220.7,0.004,0.98,0.54,0.245
node1,residential,2025-03-27 07:30:00,229.65,0.005,1.18,0.56,0.2942
node1,residential,2025-03-27 07:45:00,232.45,0.005,1.14,0.53,0.2854
node1,residential,2025-03-27 08:00:00,239.36,0.004,1.0,0.44,0.2488
node1,residential,2025-03-27 08:15:00,224.7,0.004,0.85,0.41,0.2118
node1,residential,2025-03-27 08:30:00,219.06,0.005,1.1,0.48,0.2759
node1,residential,2025-03-27 08:45:00,232.27,0.004,0.88,0.4,0.2207
node1,residential,2025-03-27 09:00:00,219.69,0.001,0.25,0.14,0.0631
node1,residential,2025-03-27 09:15:00,235.9,0.001,0.31,0.16,0.0784
node1,residential,2025-03-27 09:30:00,223.73,0.001,0.3,0.17,0.0749
node1,residential,2025-03-27 09:45:00,235.74,0.001,0.32,0.15,0.0792
node1,residential,2025-03-27 10:00:00,228.86,0.002,0.48,0.23,0.1196
node1,residential,2025-03-27 10:15:00,241.49,0.002,0.43,0.18,0.1084
node1,residential,2025-03-27 10:30:00,219.87,0.001,0.3,0.14,0.0762
node1,residential,2025-03-27 10:45:00,238.44,0.001,0.27,0.08,0.0676
node1,residential,2025-03-27 11:00:00,225.83,0.002,0.47,0.22,0.1167
node1,residential,2025-03-27 11:15:00,227.2,0.002,0.36,0.19,0.0902
node1,residential,2025-03-27 11:30:00,224.51,0.002,0.39,0.2,0.0971
node1,residential,2025-03-27 11:45:00,226.88,0.001,0.21,0.1,0.0527
node1,residential,2025-03-27 12:00:00,241.39,0.002,0.47,0.24,0.1183
node1,residential,2025-03-27 12:15:00,239.6,0.002,0.5,0.24,0.1245
node1,residential,2025-03-27 12:30:00,218.67,0.002,0.46,0.22,0.1148
node1,residential,2025-03-27 12:45:00,224.61,0.002,0.42,0.2,0.1052
node1,residential,2025-03-27 13:00:00,230.9,0.001,0.25,0.13,0.0632
node1,residential,2025-03-27 13:15:00,235.83,0.001,0.35,0.13,0.0876
node1,residential,2025-03-27 13:30:00,218.89,0.001,0.28,0.09,0.0704
node1,residential,2025-03-27 13:45:00,228.25,0.001,0.21,0.12,0.0532
node1,residential,2025-03-27 14:00:00,235.72,0.002,0.41,0.26,0.1028
node1,residential,2025-03-27 14:15:00,225.33,0.002,0.4,0.21,0.1001
node1,residential,2025-03-27 14:30:00,220.89,0.002,0.47,0.26,0.1184
node1,residential,2025-03-27 14:45:00,239.59,0.002,0.48,0.22,0.1202
node1,residential,2025-03-27 15:00:00,229.06,0.002,0.47,0.22,0.1163
node1,residential,2025-03-27 15:15:00,240.07,0.002,0.46,0.24,0.114
node1,residential,2025-03-27 15:30:00,224.02,0.002,0.46,0.26,0.1152
node1,residential,2025-03-27 15:45:00,239.85,0.002,0.48,0.22,0.1192
node1,residential,2025-03-27 16:00:00,219.51,0.001,0.25,0.12,0.0636
node1,residential,2025-03-27 16:15:00,220.67,0.001,0.26,0.16,0.0658
node1,residential,2025-03-27 16:30:00,220.94,0.001,0.32,0.2,0.0807
node1,residential,2025-03-27 16:45:00,231.25,0.001,0.29,0.16,0.073
node1,residential,2025-03-27 17:00:00,220.86,0.001,0.3,0.11,0.0745
node1,residential,2025-03-27 17:15:00,235.36,0.002,0.38,0.17,0.0951
node1,residential,2025-03-27 17:30:00,228.4,0.002,0.36,0.21,0.0901
node1,residential,2025-03-27 17:45:00,236.4,0.001,0.31,0.14,0.0766
node1,residential,2025-03-27 18:00:00,227.05,0.005,1.24,0.62,0.3089
node1,residential,2025-03-27 18:15:00,231.97,0.004,0.92,0.46,0.2298
node1,residential,2025-03-27 18:30:00,229.98,0.006,1.27,0.6,0.3181
node1,residential,2025-03-27 18:45:00,227.41,0.005,1.19,0.56,0.2967
node1,residential,2025-03-27 19:00:00,228.62,0.005,1.23,0.56,0.3064
node1,residential,2025-03-27 19:15:00,224.58,0.005,1.16,0.57,0.2903
node1,residential,2025-03-27 19:30:00,238.94,0.004,1.0,0.51,0.2504
node1,residential,2025-03-27 19:45:00,231.23,0.006,1.28,0.63,0.3199
node1,residential,2025-03-27 20:00:00,222.96,0.005,1.04,0.52,0.2592
node1,residential,2025-03-27 20:15:00,238.93,0.004,1.01,0.5,0.2523
node1,residential,2025-03-27 20:30:00,236.97,0.004,0.93,0.46,0.2315
node1,residential,2025-03-27 20:45:00,235.28,0.006,1.37,0.66,0.3429
node1,residential,2025-03-27 21:00:00,222.55,0.006,1.23,0.61,0.3077
node1,residential,2025-03-27 21:15:00,231.67,0.006,1.46,0.71,0.3645
node1,residential,2025-03-27 21:30:00,237.7,0.005,1.23,0.6,0.3074
node1,residential,2025-03-27 21:45:00,228.73,0.006,1.36,0.7,0.3391
node1,residential,2025-03-27 22:00:00,228.83,0.001,0.23,0.11,0.0573
node1,residential,2025-03-27 22:15:00,234.18,0.002,0.43,0.21,0.1087
node1,residential,2025-03-27 22:30:00,233.94,0.001,0.25,0.1,0.0624
node1,residential,2025-03-27 22:45:00,224.56,0.001,0.26,0.11,0.064
node1,residential,2025-03-27 23:00:00,237.24,0.001,0.25,0.12,0.0632
node1,residential,2025-03-27 23:15:00,239.96,0.002,0.39,0.21,0.0968
node1,residential,2025-03-27 23:30:00,237.27,0.001,0.36,0.18,0.0888
node1,residential,2025-03-27 23:45:00,227.75,0.002,0.43,0.22,0.1078
node1,residential,2025-03-28 00:00:00,226.7,0.001,0.22,0.11,0.0559
node1,residential,2025-03-28 00:15:00,234.01,0.002,0.5,0.26,0.1243
node1,residential,2025-03-28 00:30:00,232.26,0.001,0.33,0.13,0.082
node1,residential,2025-03-28 00:45:00,239.65,0.002,0.48,0.26,0.119
node1,residential,2025-03-28 01:00:00,237.16,0.002,0.47,0.21,0.1168
node1,residential,2025-03-28 01:15:00,236.74,0.002,0.41,0.22,0.1015
node1,residential,2025-03-28 01:30:00,224.5,0.002,0.43,0.23,0.1069
node1,residential,2025-03-28 01:45:00,222.38,0.001,0.31,0.15,0.0768
node1,residential,2025-03-28 02:00:00,228.07,0.002,0.35,0.19,0.088
node1,residential,2025-03-28 02:15:00,222.44,0.002,0.38,0.17,0.0959
node1,residential,2025-03-28 02:30:00,223.04,0.001,0.31,0.13,0.0785
node1,residential,2025-03-28 02:45:00,229.08,0.002,0.47,0.23,0.1175
node1,residential,2025-03-28 03:00:00,239.49,0.002,0.43,0.2,0.1079
node1,residential,2025-03-28 03:15:00,222.51,0.001,0.29,0.12,0.0736
node1,residential,2025-03-28 03:30:00,230.89,0.002,0.39,0.16,0.0967
node1,residential,2025-03-28 03:45:00,223.0,0.001,0.33,0.17,0.0834
node1,residential,2025-03-28 04:00:00,232.62,0.001,0.26,0.15,0.0655
node1,residential,2025-03-28 04:15:00,222.5,0.001,0.2,0.11,0.0511
node1,residential,2025-03-28 04:30:00,222.4,0.001,0.3,0.15,0.0739
node1,residential,2025-03-28 04:45:00,227.35,0.001,0.33,0.15,0.0814
node1,residential,2025-03-28 05:00:00,231.2,0.001,0.22,0.15,0.0556
node1,residential,2025-03-28 05:15:00,231.19,0.002,0.41,0.18,0.1036
node1,residential,2025-03-28 05:30:00,231.9,0.001,0.21,0.12,0.0514
node1,residential,2025-03-28 05:45:00,231.99,0.002,0.35,0.17,0.0882
node1,residential,2025-03-28 06:00:00,238.46,0.005,1.16,0.58,0.2892
node1,residential,2025-03-28 06:15:00,219.15,0.005,1.05,0.48,0.2628
node1,residential,2025-03-28 06:30:00,223.85,0.005,1.08,0.51,0.2698
node1,residential,2025-03-28 06:45:00,239.59,0.005,1.1,0.54,0.2746
node1,residential,2025-03-28 07:00:00,239.37,0.004,0.88,0.43,0.219
node1,residential,2025-03-28 07:15:00,227.35,0.005,1.11,0.54,0.2763
node1,residential,2025-03-28 07:30:00,226.05,0.005,1.1,0.53,0.2741
node1,residential,2025-03-28 07:45:00,220.05,0.004,0.91,0.4,0.2269
node1,residential,2025-03-28 08:00:00,228.3,0.005,1.14,0.59,0.2861
node1,residential,2025-03-28 08:15:00,218.53,0.005,1.18,0.57,0.2954
node1,residential,2025-03-28 08:30:00,230.44,0.005,1.19,0.55,0.2966
node1,residential,2025-03-28 08:45:00,222.63,0.004,0.94,0.46,0.236
node1,residential,2025-03-28 09:00:00,238.64,0.002,0.47,0.24,0.1171
node1,residential,2025-03-28 09:15:00,235.86,0.002,0.49,0.24,0.1218
node1,residential,2025-03-28 09:30:00,239.76,0.001,0.32,0.18,0.0805
node1,residential,2025-03-28 09:45:00,229.93,0.002,0.39,0.17,0.097
node1,residential,2025-03-28 10:00:00,226.36,0.001,0.22,0.11,0.0546
node1,residential,2025-03-28 10:15:00,225.3,0.001,0.27,0.13,0.0678
node1,residential,2025-03-28 10:30:00,238.0,0.002,0.44,0.18,0.1108
node1,residential,2025-03-28 10:45:00,237.34,0.002,0.39,0.23,0.0967
node1,residential,2025-03-28 11:00:00,219.53,0.002,0.39,0.19,0.0982
node1,residential,2025-03-28 11:15:00,237.06,0.001,0.35,0.15,0.0871
node1,residential,2025-03-28 11:30:00,227.77,0.002,0.37,0.18,0.0914
node1,residential,2025-03-28 11:45:00,241.26,0.001,0.23,0.1,0.0584
node1,residential,2025-03-28 12:00:00,227.06,0.002,0.4,0.19,0.0996
node1,residential,2025-03-28 12:15:00,238.95,0.001,0.26,0.16,0.064
node1,residential,2025-03-28 12:30:00,233.14,0.002,0.47,0.23,0.1168
node1,residential,2025-03-28 12:45:00,235.11,0.002,0.43,0.19,0.108
node1,residential,2025-03-28 13:00:00,219.88,0.001,0.26,0.11,0.0661
node1,residential,2025-03-28 13:15:00,219.13,0.002,0.5,0.28,0.1238
node1,residential,2025-03-28 13:30:00,227.06,0.001,0.2,0.07,0.0506
node1,residential,2025-03-28 13:45:00,235.81,0.002,0.38,0.19,0.0962
node1,residential,2025-03-28 14:00:00,224.28,0.001,0.3,0.12,0.0747
node1,residential,2025-03-28 14:15:00,223.23,0.002,0.4,0.2,0.0999
node1,residential,2025-03-28 14:30:00,226.89,0.002,0.45,0.22,0.1114
node1,residential,2025-03-28 14:45:00,228.62,0.002,0.45,0.25,0.1132
node1,residential,2025-03-28 15:00:00,240.09,0.001,0.3,0.15,0.0757
node1,residential,2025-03-28 15:15:00,232.26,0.002,0.48,0.22,0.1198
node1,residential,2025-03-28 15:30:00,230.03,0.002,0.43,0.22,0.1075
node1,residential,2025-03-28 15:45:00,240.78,0.001,0.28,0.12,0.0703
node1,residential,2025-03-28 16:00:00,233.66,0.001,0.28,0.17,0.0709
node1,residential,2025-03-28 16:15:00,239.86,0.001,0.29,0.13,0.0736
node1,residential,2025-03-28 16:30:00,231.82,0.001,0.21,0.09,0.0531
node1,residential,2025-03-28 16:45:00,229.66,0.001,0.2,0.11,0.0501
node1,residential,2025-03-28 17:00:00,230.43,0.001,0.33,0.14,0.0816
node1,residential,2025-03-28 17:15:00,238.32,0.002,0.46,0.23,0.1162
node1,residential,2025-03-28 17:30:00,238.68,0.001,0.23,0.11,0.0581
node1,residential,2025-03-28 17:45:00,239.13,0.001,0.29,0.13,0.0722
node1,residential,2025-03-28 18:00:00,227.7,0.005,1.15,0.54,0.2875
node1,residential,2025-03-28 18:15:00,227.67,0.004,0.98,0.48,0.2455
node1,residential,2025-03-28 18:30:00,221.92,0.006,1.28,0.6,0.3199
node1,residential,2025-03-28 18:45:00,221.98,0.004,0.93,0.48,0.2332
node1,residential,2025-03-28 19:00:00,221.9,0.005,1.15,0.51,0.2873
node1,residential,2025-03-28 19:15:00,237.43,0.005,1.08,0.52,0.27
node1,residential,2025-03-28 19:30:00,230.37,0.004,0.96,0.48,0.2399
node1,residential,2025-03-28 19:45:00,234.21,0.005,1.11,0.56,0.2765
node1,residential,2025-03-28 20:00:00,238.45,0.004,1.07,0.52,0.2678
node1,residential,2025-03-28 20:15:00,223.23,0.006,1.33,0.62,0.3322
node1,residential,2025-03-28 20:30:00,230.77,0.006,1.49,0.73,0.3732
node1,residential,2025-03-28 20:45:00,236.28,0.005,1.25,0.58,0.3113
node1,residential,2025-03-28 21:00:00,219.58,0.006,1.36,0.64,0.3398
node1,residential,2025-03-28 21:15:00,235.11,0.005,1.25,0.6,0.3124
node1,residential,2025-03-28 21:30:00,238.21,0.004,1.03,0.5,0.2586
node1,residential,2025-03-28 21:45:00,235.47,0.006,1.5,0.76,0.3747
node1,residential,2025-03-28 22:00:00,219.46,0.002,0.46,0.23,0.114
node1,residential,2025-03-28 22:15:00,230.48,0.001,0.22,0.11,0.056
node1,residential,2025-03-28 22:30:00,236.1,0.001,0.32,0.11,0.0808
node1,residential,2025-03-28 22:45:00,226.66,0.002,0.42,0.21,0.1051
node1,residential,2025-03-28 23:00:00,227.44,0.001,0.26,0.09,0.0641
node1,residential,2025-03-28 23:15:00,235.08,0.002,0.42,0.2,0.105
node1,residential,2025-03-28 23:30:00,223.55,0.002,0.42,0.2,0.105
node1,residential,2025-03-28 23:45:00,220.27,0.002,0.4,0.23,0.0988
node1,residential,2025-03-29 00:00:00,230.66,0.002,0.46,0.19,0.115
node1,residential,2025-03-29 00:15:00,235.32,0.001,0.28,0.13,0.0698
node1,residential,2025-03-29 00:30:00,232.8,0.001,0.32,0.14,0.0798
node1,residential,2025-03-29 00:45:00,227.31,0.001,0.24,0.11,0.0612
node1,residential,2025-03-29 01:00:00,235.34,0.002,0.38,0.17,0.0954
node1,residential,2025-03-29 01:15:00,234.25,0.001,0.2,0.06,0.0503
node1,residential,2025-03-29 01:30:00,228.97,0.002,0.47,0.21,0.1177
node1,residential,2025-03-29 01:45:00,237.75,0.001,0.23,0.09,0.0569
node1,residential,2025-03-29 02:00:00,222.55,0.001,0.2,0.08,0.0505
node1,residential,2025-03-29 02:15:00,235.07,0.002,0.39,0.18,0.0975
node1,residential,2025-03-29 02:30:00,221.46,0.002,0.37,0.16,0.0921
node1,residential,2025-03-29 02:45:00,226.27,0.001,0.3,0.15,0.0739
node1,residential,2025-03-29 03:00:00,240.9,0.001,0.25,0.16,0.0626
node1,residential,2025-03-29 03:15:00,230.42,0.001,0.32,0.15,0.0812
node1,residential,2025-03-29 03:30:00,228.84,0.001,0.3,0.14,0.0759
node1,residential,2025-03-29 03:45:00,224.72,0.001,0.26,0.14,0.0659
node1,residential,2025-03-29 04:00:00,239.25,0.001,0.33,0.17,0.0832
node1,residential,2025-03-29 04:15:00,225.89,0.002,0.43,0.19,0.1075
node1,residential,2025-03-29 04:30:00,231.7,0.002,0.43,0.21,0.1075
node1,residential,2025-03-29 04:45:00,223.77,0.002,0.36,0.19,0.091
node1,residential,2025-03-29 05:00:00,235.66,0.002,0.47,0.25,0.118
node1,residential,2025-03-29 05:15:00,219.73,0.001,0.27,0.16,0.0663
node1,residential,2025-03-29 05:30:00,223.01,0.002,0.48,0.21,0.1201
node1,residential,2025-03-29 05:45:00,236.97,0.002,0.49,0.23,0.1222
node1,residential,2025-03-29 06:00:00,223.83,0.005,1.07,0.5,0.2664
node1,residential,2025-03-29 06:15:00,239.3,0.004,1.01,0.49,0.2523
node1,residential,2025-03-29 06:30:00,233.51,0.004,1.05,0.5,0.2619
node1,residential,2025-03-29 06:45:00,220.79,0.004,0.93,0.45,0.2327
node1,residential,2025-03-29 07:00:00,229.51,0.005,1.05,0.5,0.2621
node1,residential,2025-03-29 07:15:00,229.65,0.004,0.97,0.5,0.2432
node1,residential,2025-03-29 07:30:00,233.95,0.005,1.12,0.54,0.2792
node1,residential,2025-03-29 07:45:00,226.62,0.005,1.04,0.49,0.2593
node1,residential,2025-03-29 08:00:00,232.94,0.005,1.17,0.58,0.292
node1,residential,2025-03-29 08:15:00,239.58,0.004,0.87,0.42,0.2176
node1,residential,2025-03-29 08:30:00,228.37,0.005,1.2,0.59,0.2991
node1,residential,2025-03-29 08:45:00,236.39,0.004,0.94,0.47,0.2354
node1,residential,2025-03-29 09:00:00,235.76,0.001,0.35,0.16,0.0866
node1,residential,2025-03-29 09:15:00,225.28,0.002,0.38,0.19,0.0944
node1,residential,2025-03-29 09:30:00,233.76,0.001,0.31,0.17,0.0774
node1,residential,2025-03-29 09:45:00,239.47,0.001,0.24,0.14,0.0605
node1,residential,2025-03-29 10:00:00,223.4,0.002,0.45,0.2,0.1123
node1,residential,2025-03-29 10:15:00,231.98,0.001,0.26,0.13,0.0655
node1,residential,2025-03-29 10:30:00,218.63,0.001,0.26,0.14,0.0655
node1,residential,2025-03-29 10:45:00,229.29,0.002,0.48,0.26,0.1198
node1,residential,2025-03-29 11:00:00,237.09,0.002,0.38,0.21,0.0947
node1,residential,2025-03-29 11:15:00,222.85,0.002,0.38,0.21,0.096
node1,residential,2025-03-29 11:30:00,228.26,0.002,0.4,0.21,0.1002
